iter,td_loss,w_norm,tracking_gap,teacher_error,mean_rho,mean_rho2,p95_rho2,p99_rho2,max_rho2,delta_mean,delta_std,delta_p95,delta_p99,delta_max,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,tol,mmd2,mmd_sigma,mean_l2,num_samples,dist_action_kl,dist_action_tv,action_samples
0.0,2.500102025332649e-05,9.163369275853684,1.585678590298169e-15,0.044552625510051444,0.6282641040620544,0.42447553895329554,0.7700656883617376,0.8104126163062042,0.8740212787334868,-0.0007608151625850486,0.004941880263797088,0.0034175382156823755,0.0072171685663145165,0.02207853374898103,,,,,,,,,,,,,,,,,,,
1.0,2.5317021197059575e-05,9.163366786167302,4.881184443991506e-15,0.04455248831713099,0.6297092696209585,0.4263093474284747,0.7687148923742665,0.8165863854196376,0.9064863049876275,-0.0007328797711055434,0.00497794218911428,0.0035749325601644416,0.006888732176997277,0.01626597973417573,,,,,,,,,,,,,,,,,,,
2.0,2.5413943656478407e-05,9.163364560242432,8.558763450486835e-15,0.04455235986707006,0.6302085813941328,0.42722876908141216,0.7780745786023502,0.8228679460355749,0.8951232331861991,-0.0009393269633132528,0.004952939381061624,0.0034723990848159196,0.006478515622453517,0.018504540137093104,,,,,,,,,,,,,,,,,,,
3.0,2.3859150641360744e-05,9.163362100331012,1.487883860669872e-14,0.04455223251692855,0.6282014868477779,0.4249802655642833,0.7707613554322708,0.8289793645415675,0.9029836548003559,-0.0008114911881388104,0.004816703508929505,0.0036139756301881683,0.0066524785292504255,0.02795356676146895,,,,,,,,,,,,,,,,,,,
4.0,2.4652085282866378e-05,9.163359434959798,2.3383634171191446e-14,0.04455210052524472,0.6338861253325166,0.432162429635366,0.7717921263623625,0.8105974579264958,0.9005625420393955,-0.0008078087508357088,0.00489893154728045,0.0036848380976096384,0.0063005390553600125,0.02309386969167596,,,,,,,,,,,,,,,,,,,
5.0,2.602278696434989e-05,9.16335676819234,3.05216917822899e-14,0.04455196741167269,0.6329859475486416,0.4310200117866303,0.7822308736879707,0.8291213484352474,0.8725063669628017,-0.0008239999376378348,0.005034263706553595,0.0037759616972122896,0.0068170236769173565,0.02264438807090647,0.9999833181830787,0.9999833181830787,1.2374507813211943e-06,20.0,4096.0,6.25e-05,0.19000381140553352,0.0,0.0,nan,2000.0,1e-07,0.012445747498749382,2.3350866200450215,0.3306415615278038,4096.0,0.6199927415085643,0.3338472119312925,64.0
6.0,2.594678908264824e-05,9.16335415271131,4.112432810406669e-14,0.04455183358936943,0.6305997451742305,0.4270575772975025,0.7709032995759133,0.816777999818663,0.8737163229138752,-0.0010249127773360696,0.004989623521018545,0.003225867256386356,0.006227267083151142,0.0213113190916617,,,,,,,,,,,,,,,,,,,
7.0,2.402228624663873e-05,9.163351700504222,5.3235662076980386e-14,0.0445517096098987,0.6260840067334231,0.4214353929570562,0.7680222661255139,0.8119425298958709,0.8609715951839794,-0.0006954663409419718,0.004851660830607959,0.0037974675762892348,0.00644937753989089,0.02389324143982884,,,,,,,,,,,,,,,,,,,
8.0,2.4789451709978093e-05,9.163349459353,6.288149238928282e-14,0.0445515854473538,0.6293423705929644,0.426091164069406,0.7748491892504572,0.8217648812452366,0.8794460923199261,-0.0007430974131311445,0.004923134971192228,0.003625850985159567,0.006980522115421597,0.026523837049713714,,,,,,,,,,,,,,,,,,,
9.0,2.6472529741802396e-05,9.16334657815317,8.132079932125185e-14,0.044551446341827054,0.6336969517243184,0.43151101461119723,0.7833009900962082,0.8222590119906299,0.90237939677006,-0.0008879470509775113,0.005067946307574967,0.0035802304424779607,0.007082958978826499,0.023774048056594735,0.9999826644908275,0.9999826644908275,2.371535322325121e-06,20.0,4096.0,6.25e-05,0.19774907635131964,0.04149503998645001,1.0,nan,2000.0,1e-07,0.017417191182320657,2.339678044847076,0.41876484378353285,4096.0,0.6199927415086344,0.33385303980707026,64.0
